D,bias,comp,dataset,degree,dist_est_time,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
40.0,0.0,0.0,Yacht,0.0,0.00030612945556640625,None,0.0,19.130008697509766,561.2857666015625,0.18625584244728088,3.269603729248047,212.3822021484375,rff,0.0009765625,0.015169620513916016,gaussian,0.0,11.654583930969238,,158.89920043945312,11.333016395568848,4990.2529296875,
40.0,0.0,0.0,Yacht,0.0,4.267692565917969e-05,None,0.0,28.02975082397461,1242.223876953125,0.27708810567855835,3.269603729248047,212.3822021484375,rff,0.001953125,0.007527828216552734,gaussian,0.0,14.512402534484863,227806.40625,158.89920043945312,13.279756546020508,3136.958251953125,2.0833429061895004e-06
40.0,0.0,0.0,Yacht,0.0,5.1975250244140625e-05,None,0.0,19.253610610961914,708.4228515625,0.2092493772506714,3.269603729248047,212.3822021484375,rff,0.00390625,0.022660017013549805,gaussian,0.0,4.9654693603515625,34273.14453125,158.89920043945312,4.396159648895264,517.2457885742188,5.221159426582744e-06
40.0,0.0,0.0,Yacht,0.0,7.081031799316406e-05,None,0.0,15.41670036315918,435.7752685546875,0.16411533951759338,3.269603729248047,212.3822021484375,rff,0.0078125,0.0111541748046875,gaussian,0.0,9.545611381530762,43073.03125,158.89920043945312,8.972546577453613,513.63623046875,1.6788357243058272e-05
40.0,0.0,0.0,Yacht,0.0,4.839897155761719e-05,None,0.0,18.81753158569336,599.7286376953125,0.1925286203622818,3.269603729248047,212.3822021484375,rff,0.015625,0.004419088363647461,gaussian,0.0,14.643953323364258,34209.3984375,158.89920043945312,14.529823303222656,398.0449523925781,4.714424358098768e-05
40.0,0.0,0.0,Yacht,0.0,5.173683166503906e-05,None,0.0,22.449600219726562,795.0489501953125,0.22167403995990753,3.269603729248047,212.3822021484375,rff,0.03125,0.025436878204345703,gaussian,0.0,15.945279121398926,17969.759765625,158.89920043945312,14.465447425842285,221.81468200683594,0.0001448558468837291
40.0,0.0,0.0,Yacht,0.0,5.364418029785156e-05,None,0.0,22.533845901489258,851.375732421875,0.2293921411037445,3.269603729248047,212.3822021484375,rff,0.0625,0.013200998306274414,gaussian,0.0,14.43702220916748,6789.52880859375,158.89920043945312,13.72667121887207,94.78924560546875,0.00035278205177746713
40.0,0.0,0.0,Yacht,0.0,0.00023245811462402344,None,0.0,17.274559020996094,533.0809326171875,0.18151582777500153,3.269603729248047,212.3822021484375,rff,0.125,0.008439779281616211,gaussian,0.0,16.078519821166992,5417.513671875,158.89920043945312,15.689082145690918,54.77037811279297,0.0010028674732893705
40.0,0.0,0.0,Yacht,0.0,5.841255187988281e-05,None,0.0,17.359968185424805,520.4758911132812,0.17935694754123688,3.269603729248047,212.3822021484375,rff,0.25,0.013829231262207031,gaussian,0.0,15.703514099121094,2014.197021484375,158.89920043945312,12.906943321228027,26.870576858520508,0.002663875464349985
40.0,0.0,0.0,Yacht,0.0,5.245208740234375e-05,None,0.0,19.17304039001465,655.74462890625,0.20131923258304596,3.269603729248047,212.3822021484375,rff,0.5,0.011614561080932617,gaussian,0.0,15.188966751098633,911.125,158.89920043945312,10.341277122497559,13.703752517700195,0.007783203385770321
40.0,0.0,0.0,Yacht,0.0,5.698204040527344e-05,None,0.0,17.75357437133789,524.444091796875,0.18003936111927032,3.269603729248047,212.3822021484375,rff,1.0,0.012438297271728516,gaussian,0.0,20.636171340942383,796.0278930664062,158.89920043945312,12.187841415405273,10.093609809875488,0.022245079278945923
40.0,0.0,0.0,Yacht,0.0,5.6743621826171875e-05,None,0.0,20.300472259521484,700.0416870117188,0.20800791680812836,3.269603729248047,212.3822021484375,rff,2.0,0.004579782485961914,gaussian,0.0,13.755399703979492,147.7471160888672,158.89920043945312,4.5500006675720215,4.34700870513916,0.047663696110248566
40.0,0.0,0.0,Yacht,0.0,6.437301635742188e-05,None,0.0,16.923480987548828,556.89794921875,0.18552640080451965,3.269603729248047,212.3822021484375,rff,4.0,0.015214681625366211,gaussian,0.0,22.113910675048828,131.35614013671875,158.89920043945312,7.401721954345703,4.097645282745361,0.10533719509840012
40.0,0.0,0.0,Yacht,0.0,8.106231689453125e-05,None,0.0,15.982270240783691,406.35498046875,0.15847863256931305,3.269603729248047,212.3822021484375,rff,8.0,0.006342649459838867,gaussian,0.0,30.68161392211914,199.87582397460938,158.89920043945312,18.249412536621094,3.753929376602173,0.35910114645957947
40.0,0.0,0.0,Yacht,0.0,7.224082946777344e-05,None,0.0,18.556230545043945,620.7968139648438,0.19588114321231842,3.269603729248047,212.3822021484375,rff,16.0,0.010097503662109375,gaussian,0.0,34.52055740356445,126.86431121826172,158.89920043945312,22.258440017700195,3.343259334564209,1.0571223497390747
40.0,0.0,0.0,Yacht,0.0,6.4849853515625e-05,None,0.0,12.991897583007812,266.7763366699219,0.12840785086154938,3.269603729248047,212.3822021484375,rff,32.0,0.013243436813354492,gaussian,0.0,41.659881591796875,81.01515197753906,158.89920043945312,22.639795303344727,3.2941856384277344,2.2858564853668213
40.0,0.0,0.0,Yacht,0.0,4.9114227294921875e-05,None,0.0,18.065715789794922,622.3507690429688,0.19612614810466766,3.269603729248047,212.3822021484375,rff,64.0,0.004578113555908203,gaussian,0.0,23.76102066040039,16.806062698364258,158.89920043945312,7.814888000488281,3.2091562747955322,1.6258434057235718
40.0,0.0,0.0,Yacht,0.0,4.506111145019531e-05,None,0.0,11.601256370544434,239.16668701171875,0.12158171087503433,3.269603729248047,212.3822021484375,rff,128.0,0.014764547348022461,gaussian,0.0,47.17428207397461,11.253381729125977,158.89920043945312,9.095527648925781,3.5490031242370605,6.371537208557129
40.0,0.0,0.0,Yacht,0.0,8.511543273925781e-05,None,0.0,18.373275756835938,497.6226501464844,0.17537511885166168,3.269603729248047,212.3822021484375,rff,256.0,0.04521322250366211,gaussian,0.0,34.825355529785156,1.1988005638122559,158.89920043945312,0.9245380759239197,3.78072190284729,12.132810592651367
40.0,0.0,0.0,Yacht,0.0,4.553794860839844e-05,None,0.0,15.205742835998535,432.44244384765625,0.1634865552186966,3.269603729248047,212.3822021484375,rff,512.0,0.012878179550170898,gaussian,0.0,46.72665786743164,1.7496037483215332,158.89920043945312,2.6880850791931152,4.101031303405762,27.89913558959961
40.0,0.0,0.0,Yacht,0.0,7.510185241699219e-05,None,0.0,17.714391708374023,549.9402465820312,0.18436381220817566,3.269603729248047,212.3822021484375,rff,1024.0,0.01416921615600586,gaussian,0.0,54.665557861328125,1.2286568880081177,158.89920043945312,2.8538153171539307,4.425793170928955,34.66627502441406
40.0,0.0,0.0,Yacht,0.0,5.4836273193359375e-05,None,0.0,20.81568145751953,717.7799072265625,0.2106267660856247,3.269603729248047,212.3822021484375,rff,2048.0,0.0076978206634521484,gaussian,0.0,73.41148376464844,0.9273553490638733,158.89920043945312,3.384491443634033,4.761424541473389,16.509510040283203
40.0,0.0,0.0,Yacht,0.0,5.340576171875e-05,None,0.0,17.867788314819336,518.6893920898438,0.17904888093471527,3.269603729248047,212.3822021484375,rff,4096.0,0.008390426635742188,gaussian,0.0,98.90935516357422,1.103332281112671,158.89920043945312,5.370285987854004,5.097744941711426,71.17859649658203
40.0,0.0,0.0,Yacht,0.0,7.62939453125e-05,None,0.0,23.638534545898438,911.2041625976562,0.2373153120279312,3.269603729248047,212.3822021484375,rff,8192.0,0.014049053192138672,gaussian,0.0,109.05684661865234,0.689967691898346,158.89920043945312,2.8290367126464844,5.4357686042785645,323.0238342285156
40.0,0.0,0.0,Yacht,0.0,5.316734313964844e-05,None,0.0,12.39423942565918,263.281005859375,0.12756386399269104,3.269603729248047,212.3822021484375,rff,16384.0,0.021943330764770508,gaussian,0.0,129.14456176757812,0.10270940512418747,158.89920043945312,0.5908873677253723,5.778336048126221,67.34529113769531
