dataset,method,degree,bias,proj,comp,comp_real,full_cov,ahle,tree,kernel_var,kernel_len,k_frob_error,k_rel_frob_error,D,E,feature_dist,noise_var,feature_time,maclaurin_time,seed
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,277.7559509277344,257.31207275390625,6313.4755859375,0.354034960269928,40,0,"[9, 15, 15]",0.001,0.0012352466583251953,0.4146769046783447,0
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,280.63836669921875,259.6651611328125,10078.5673828125,0.49106737971305847,40,0,"[10, 15, 14]",0.001,0.0010941028594970703,0.4295358657836914,1
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,276.90179443359375,260.483642578125,5709.0302734375,0.260923832654953,40,0,"[10, 15, 14]",0.001,0.0008480548858642578,0.43595075607299805,2
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,275.24615478515625,259.97772216796875,4141.42578125,0.18238605558872223,40,0,"[10, 15, 14]",0.001,0.0010592937469482422,0.5645489692687988,3
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,271.6627197265625,260.09405517578125,4973.97119140625,0.20500816404819489,40,0,"[10, 15, 14]",0.001,0.0026040077209472656,0.6193771362304688,4
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,268.760986328125,262.6385803222656,3431.26513671875,0.1288168579339981,40,0,"[10, 15, 14]",0.001,0.0026161670684814453,0.6515822410583496,5
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,267.71624755859375,264.3072204589844,9538.7880859375,0.33341944217681885,40,0,"[10, 15, 14]",0.001,0.0009469985961914062,0.6755640506744385,6
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,268.5616455078125,264.400634765625,7033.7021484375,0.23113113641738892,40,0,"[10, 15, 14]",0.001,0.0014231204986572266,0.6863079071044922,7
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,268.0755920410156,264.3321838378906,8206.32421875,0.25849661231040955,40,0,"[10, 15, 14]",0.001,0.0013298988342285156,0.8326959609985352,8
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,269.8567810058594,264.04925537109375,8946.1669921875,0.2718108296394348,40,0,"[10, 15, 14]",0.001,0.0014770030975341797,0.8508589267730713,9
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,267.13287353515625,265.5972900390625,8434.533203125,0.24062301218509674,40,0,"[10, 15, 14]",0.001,0.0013179779052734375,0.8865373134613037,10
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,264.9992980957031,267.1959228515625,8886.9091796875,0.2354617416858673,40,0,"[10, 15, 14]",0.001,0.0014042854309082031,0.9748339653015137,11
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,264.7939147949219,265.1653747558594,6843.4306640625,0.18328583240509033,40,0,"[10, 15, 14]",0.001,0.001489877700805664,1.0682041645050049,12
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,265.7576599121094,267.4581298828125,12609.2705078125,0.30837711691856384,40,0,"[10, 15, 14]",0.001,0.0015010833740234375,1.1256282329559326,13
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,266.0328063964844,267.1959228515625,5540.88671875,0.1312125027179718,40,0,"[10, 15, 14]",0.001,0.0010361671447753906,1.2585711479187012,14
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,264.1672668457031,266.4205017089844,7049.38623046875,0.16475217044353485,40,0,"[10, 15, 14]",0.001,0.0013599395751953125,1.283383846282959,15
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,264.33294677734375,266.7994689941406,9511.8515625,0.21470193564891815,40,0,"[10, 15, 14]",0.001,0.0022230148315429688,1.3957810401916504,16
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,262.56207275390625,267.4619445800781,14119.66015625,0.30571746826171875,40,0,"[10, 15, 14]",0.001,0.0014791488647460938,1.5337941646575928,17
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,258.94158935546875,267.70465087890625,31772.88671875,0.6702902317047119,40,0,"[10, 15, 14]",0.001,0.0039310455322265625,1.6439321041107178,18
Concrete,maclaurin,0,0,rademacher,False,False,False,False,False,257.0274658203125,267.4212646484375,13108.2041015625,0.2723887860774994,40,0,"[10, 15, 14]",0.001,0.0015988349914550781,1.70881986618042,19
